corrida,dimension,posicion_inicial,posicion_final,valor_final,iteraciones,evaluaciones
1,2,"[2.644615126313191, -4.8682299754618725]","[2.9848541847051164, -4.974691204819342]",33.82832417649013,27,29
2,2,"[-4.893454832343068, -1.8062313559086975]","[-4.974690793692386, -1.989910851482968]",28.853554125544456,24,26
3,2,"[-0.11629373025622236, 2.768971958351803]","[-4.1451509784157063e-07, 2.9848545083376803]",8.95460124180205,25,27
4,2,"[1.876944656450613, -0.5539562867020971]","[1.9899121991298114, -0.9949572051902458]",4.974790248054504,30,32
5,2,"[-2.3180629372757413, 5.090554881614962]","[-1.9899135956986256, 4.974691670708319]",28.853554125478936,26,28
6,2,"[-0.7559034651036374, -0.49779687086412316]","[-0.9949586359056458, -9.532726753777823e-07]",0.9949590572735758,38,40
7,2,"[-3.444492070997308, 3.018849779199276]","[-2.9848571944461857, 2.9848557168325134]",17.90920248341455,29,31
8,2,"[1.9833059920024434, -2.8593191650430936]","[1.9899121727525058, -2.984854274549582]",12.93443243244372,23,25
9,2,"[-4.2764180928937705, 1.8483128532450621]","[-3.9797848841355825, 1.9899118873865007]",19.89907498324566,26,28
10,2,"[1.582194834238825, -2.3218224435383368]","[1.9899108793518863, -1.9899125440943666]",7.959662381490428,29,31
11,2,"[4.616842877444202, -3.5731671881635814]","[4.974690993057865, -3.97978300025705]",40.79296672718034,31,33
12,2,"[-0.6928916373237568, 4.542627022516213]","[-0.994958614784855, 4.97469036946057]",25.868681991840013,34,36
13,2,"[-0.8219922746765072, 1.4185057040802365]","[-0.9949585422358549, 0.9949596617814452]",1.9899181143963656,29,31
14,2,"[-1.0486333648609865, -2.312036327949619]","[-0.9949587449050921, -1.9899135254317513]",4.974790247980028,26,28
15,2,"[4.955931115108641, -0.9284197753339596]","[4.974691052067238, -0.9949576037978248]",25.86868199186995,22,24
16,2,"[4.0355758456743365, -2.7652648356752776]","[3.979784063858874, -2.98485446907401]",24.87384503425645,25,27
17,2,"[-2.937807830783147, -4.801186991262604]","[-2.984855529987781, -4.974690389116119]",33.82832417623162,25,27
18,2,"[1.5530682918490628, -1.346290240268686]","[1.9899111660980517, -0.9949587816605883]",4.974790247877165,31,33
19,2,"[3.731028478357884, -0.2743305554784543]","[3.97978277819833, -9.457568260445293e-07]",15.919243792869434,26,28
20,2,"[4.79430070184675, -3.2202187192000395]","[4.974690322307189, -2.98485677716704]",33.82832417648165,25,27
21,2,"[3.774701239865455, 2.832351772587435]","[3.9797826629784225, 2.984855021770958]",24.873845034321803,25,27
22,2,"[2.7742396891550927, 3.53058025591693]","[2.9848556935553163, 3.979782749505821]",24.873845034191383,35,37
23,2,"[2.672885667256309, 1.2924960935056937]","[2.984854614196069, 0.9949592963228951]",9.949560298899625,27,29
24,2,"[-3.776052452532351, -4.786931922009581]","[-3.979783143014801, -4.974690694788857]",40.79296672719994,26,28
25,2,"[4.309481961632634, 1.1944992206923573]","[3.979785181224653, 0.9949591414727894]",16.914202849948545,26,28
26,2,"[3.0365418595960447, -0.18921112051148725]","[2.9848559977355396, -1.3102285305406193e-06]",8.954601241844976,24,26
27,2,"[-3.9187641450250803, -3.8380974878458836]","[-3.9797834619270573, -3.9797827618502746]",31.838487585191753,24,26
28,2,"[1.9001885412246668, -0.713667636229502]","[1.9899120355971065, -0.9949575623271033]",4.974790247884439,26,28
29,2,"[-3.066626798588552, -0.0860718413676862]","[-2.9848564864475007, -8.083946784575878e-07]",8.95460124173849,23,25
30,2,"[-4.4625004843506275, 0.8393871556034433]","[-3.9797851495049263, 0.9949585881211517]",16.914202849882408,30,32
31,2,"[-2.3655075385846, 3.047005190524806]","[-1.9899135452161376, 2.984855780270264]",12.934432432382902,27,29
32,2,"[-1.9418935406226048, -0.4585456734023561]","[-1.9899122256281574, -1.0940475624590575e-06]",3.9798311907915647,31,33
33,2,"[-5.00100567134105, -4.3781438689837175]","[-4.974691429090886, -3.9797853727385046]",40.79296672745422,27,29
34,2,"[-1.1008659823955478, -0.2054263324966552]","[-0.9949590056424478, -8.998911208564847e-07]",0.994959057280802,25,27
35,2,"[1.0242104127416702, -2.133375194016735]","[0.994958901123604, -1.9899136824057728]",4.974790248076682,23,25
36,2,"[1.9966145139357954, 3.687653347217455]","[1.989912241903806, 3.9797828497638377]",19.899074983216607,27,29
37,2,"[2.865674126267902, -4.714303228432823]","[2.9848554054202894, -4.97469000266326]",33.82832417642403,26,28
