corrida,dimension,posicion_inicial,posicion_final,valor_final,iteraciones,evaluaciones
1,2,"[-1.2847091830030082, 4.615314497637542]","[-0.9949588622892617, 4.974690286358043]",25.868681991884525,29,31
2,2,"[2.3756179641487885, 1.010262878177655]","[1.989913704877883, 0.9949586558922167]",4.9747902480759745,27,29
3,2,"[-3.52236912186945, -3.522616111757285]","[-3.979783132720148, -3.979783189358308]",31.83848758511584,39,41
4,2,"[-4.5252238113976375, 3.749643732735337]","[-4.97468998355295, 3.9797838594728443]",40.792966727391764,40,42
5,2,"[1.0354177202504582, 2.130663196631506]","[0.9949590033261926, 1.98991364877838]",4.974790248070365,23,25
6,2,"[-4.909214778410983, 4.811876886138822]","[-4.974691106657816, 4.974690485675345]",49.74744586926081,25,27
7,2,"[3.4042126417963194, -2.9456475066544523]","[2.9848569582123683, -2.984855669740353]",17.909202483286357,28,30
8,2,"[-3.25811233579929, -3.241937819100838]","[-2.984856558969255, -2.9848564628345096]",17.909202483234004,26,28
9,2,"[-2.0045594320943336, 0.25350585991411556]","[-1.9899122827286382, 1.3205285870326505e-06]",3.9798311909005193,25,27
10,2,"[-0.6968830091047344, -2.137813604372051]","[-0.9949573845334048, -1.9899125652732725]",4.974790247980526,26,28
11,2,"[1.1453736419571658, -3.691582866923092]","[0.9949588420355279, -3.9797828909410335]",16.914202849748033,27,29
12,2,"[-2.1284387989993663, -1.3684547246725969]","[-1.9899124184221422, -0.9949600234730298]",4.974790248034957,27,29
13,2,"[-0.44984336161755234, 2.920201844664459]","[-1.3742443328445238e-06, 2.9848556815567426]",8.95460124186176,30,32
14,2,"[-3.0753404706983964, 0.1457606493553829]","[-2.984856229917299, 9.090123799396818e-07]",8.954601241706186,24,26
15,2,"[0.9463251851473151, -4.644347773747223]","[0.9949586017920152, -4.974690233929794]",25.868681991898008,28,30
16,2,"[1.1012592834707293, -3.373832973442135]","[0.9949587722062013, -2.9848571309588183]",9.949560298987716,27,29
17,2,"[-4.453871687830738, 4.596587901474133]","[-3.979784913478195, 4.974690424748575]",40.79296672740491,30,32
18,2,"[4.768072018683488, 3.1579888447125617]","[4.974690027452097, 2.9848563827111145]",33.82832417648518,25,27
19,2,"[-2.0007550036646844, -4.119837552574629]","[-1.9899123332332767, -3.9797853293264605]",19.899074983442286,23,25
20,2,"[1.886546191484487, -0.612838464106483]","[1.9899121485126132, -0.994957449443134]",4.974790247928773,28,30
21,2,"[-3.870328475189465, -0.049388440460592875]","[-3.9797825698879445, -4.4841473947821454e-07]",15.91924379282913,23,25
22,2,"[-4.767861543780164, 4.191440917286729]","[-4.974690560030534, 3.9797844214502813]",40.79296672720097,26,28
23,2,"[-2.4700929884158267, 1.6642281917847752]","[-1.9899134281563227, 1.9899120860372272]",7.959662381394976,31,33
24,2,"[-1.9280785808444318, 0.20549653686078262]","[-1.9899120161945494, 9.003939101402888e-07]",3.9798311907242923,25,27
25,2,"[0.47831326047518363, -3.2270903754186033]","[9.92141179011254e-07, -2.984855721335969]",8.954601241682376,33,35
26,2,"[4.80854658830908, 2.8173601112178135]","[4.974690456469669, 2.98485492173163]",33.82832417632024,25,27
27,2,"[4.500469161617297, 4.043032068379124]","[3.979785143017273, 3.979783864524374]",31.838487585246874,33,35
28,2,"[1.0024957830255117, 4.319992166636717]","[0.9949586525402545, 3.979785299995092]",16.91420284996278,26,28
29,2,"[-4.213836778988345, -3.1131354888279534]","[-3.979784942344901, -2.984856171860044]",24.873845034222747,25,27
30,2,"[-4.65687256155609, -1.788617412984173]","[-4.974690411808779, -1.989912019990424]",28.85355412529315,28,30
31,2,"[-1.1399445535797041, -2.341385914635306]","[-0.9949588326439675, -1.9899132554415602]",4.974790247861613,27,29
32,2,"[3.3662720937157564, -1.4668459346576457]","[2.984855877510556, -0.9949598807595679]",9.94956029889288,31,33
33,2,"[-2.243230620801221, 0.43720789154046447]","[-1.9899123329048134, 9.862006512678563e-07]",3.9798311907489907,30,32
34,2,"[-3.6769359362584306, 3.0944970829213654]","[-3.979782724510175, 2.984855845301847]",24.873845034206536,27,29
35,2,"[-4.356601408719147, 4.985722230789297]","[-3.979785072346613, 4.974691407046554]",40.79296672729293,27,29
36,2,"[2.787786437597772, -3.0851514210900746]","[2.984854688790493, -2.9848560584761152]",17.909202483201625,25,27
37,2,"[-5.063453520654312, 3.2303250273775026]","[-4.974691738161087, 2.984856858508418]",33.82832417631746,25,27
38,2,"[2.118219200999599, 2.34503340073971]","[1.9899124021977546, 1.989913292753355]",7.959662381335865,27,29
39,2,"[2.7778083500640847, -4.361782766242915]","[2.984855296851384, -3.9797851356893426]",24.873845034300928,27,29
40,2,"[-1.4493109397066486, -3.9335008304626715]","[-0.9949598285153936, -3.979783845585215]",16.914202849836077,30,32
41,2,"[3.7181790809660784, 1.262572818714193]","[3.979782637096569, 0.9949594916619299]",16.914202849993906,26,28
42,2,"[-1.7316042255088724, -4.469162493071118]","[-1.9899121570059288, -3.979784793191228]",19.899074983188058,31,33
43,2,"[-1.9355410256316192, -1.7901227824461103]","[-1.989912044048072, -1.9899112761201954]",7.959662381296855,25,27
