corrida,dimension,posicion_inicial,posicion_final,valor_final,iteraciones,evaluaciones
1,3,"[0.5465209830376638, 0.03207651892777008, -3.134842184326219]","[0.9949575379400636, 5.0567149394675e-09, -2.984855728866621]",9.949560298820266,31,33
2,3,"[3.674283736761905, 1.8118736178876143, 3.4601817584824692]","[3.9797835993904616, 1.989912169772585, 2.9848570052651615]",28.853676224852787,30,32
3,3,"[3.673746220538596, 2.543163941537175, -0.6224834432028947]","[3.9797837637751483, 2.9848544584630115, -0.9949585001006127]",25.86880409135236,32,34
4,3,"[1.1319987713579476, -3.47785824133383, 1.7781290749430552]","[0.9949586617410788, -2.9848570775479235, 1.9899121822495554]",13.929391489509243,31,33
5,3,"[-3.284446661229765, 1.9860438068240054, -2.7689148338793608]","[-2.984856748833275, 1.989912225851655, -2.9848549790927095]",21.88903367384789,26,28
6,3,"[-3.9162746864617475, -3.427486820936116, -5.09960053535672]","[-3.9797838261739558, -2.984856785726796, -4.9746914592460465]",49.747567968724276,29,31
7,3,"[2.2398936868201496, 2.379786742357802, 0.15291750311177665]","[1.989912498870688, 1.9899131674050783, 1.2818542631544949e-07]",7.959662381297965,28,30
8,3,"[-3.467644917192871, -4.264403583890537, -4.924119383682181]","[-2.984856675318628, -3.9797839371737385, -4.974691380052712]",49.74756796867943,31,33
9,3,"[-3.42273866787614, 4.002360678227423, -2.646662740974779]","[-2.9848567034034192, 3.9797838714862572, -2.984855160218223]",33.828446275691775,29,31
10,3,"[-1.4922616092957117, -4.041262238911148, -2.8430202393787365]","[-0.994959848324115, -3.979783862789471, -2.9848556943723024]",25.868804091332485,34,36
11,3,"[0.1968596047893003, 1.103387474899482, -2.6075923029379986]","[1.1127515620309127e-07, 0.9949586877642151, -2.9848547485154637]",9.949560298762451,29,31
12,3,"[-4.5288226895348, -1.1158234201354382, -2.7217574817143384]","[-4.97468993364616, -0.994958638651458, -2.9848556966635984]",34.82328323353855,37,39
13,3,"[-2.871767826126828, 4.708995099785782, 1.1909169758794143]","[-2.9848555335563853, 4.974690499755596, 0.9949589333168282]",34.82328323330098,27,29
14,3,"[0.5824352580822616, -0.8624629399211834, -0.7276100256753226]","[0.99495744142963, -0.9949585712384842, -0.9949584285695655]",2.9848771715731655,29,31
15,3,"[0.4188672393019477, 2.0114412240497384, 2.0699760249019334]","[1.1125281792617008e-06, 1.98991224329297, 1.9899122701069591]",7.959662381354013,29,31
16,3,"[-3.361854385096197, 0.0011545812646600595, -0.9015491068507959]","[-2.984856958519727, 1.3651866075652475e-09, -0.9949585175329692]",9.949560298895458,27,29
17,3,"[3.7941961345984945, 1.3457297532761743, 0.33284164009965345]","[3.9797834909176957, 0.9949597176131545, 9.727113847494967e-07]",16.914202850000663,27,29
18,3,"[-3.938358864087886, 1.0817319866717332, -3.91983200583441]","[-3.9797834261437757, 0.9949594477108338, -3.9797832158818744]",32.8334466422653,23,25
19,3,"[-1.667004666206699, -3.6572982803012417, 1.9668341455295373]","[-1.9899115836068844, -3.9797829937321336, 1.9899122164393634]",23.878906173801234,28,30
20,3,"[-3.0079783543177974, -1.1073600185546137, 4.051709722816294]","[-2.9848559203519263, -0.9949597195841067, 3.9797845762894295]",25.86880409138434,23,25
21,3,"[-3.0278002339945442, 0.07992385493789822, -0.826658189659935]","[-2.98485594724154, 4.496571726130291e-07, -0.9949574914451195]",9.949560298892901,24,26
22,3,"[-4.934409819691727, 2.997843082985603, -4.412969919338499]","[-4.974691353080837, 2.984855711049232, -3.9797852685091675]",49.74756796888135,28,30
23,3,"[-0.2636285851959954, 0.6213457401748474, 1.3150869157333718]","[-3.1483799239085086e-07, 0.9949575839213457, 0.9949591222329749]",1.9899181144729887,28,30
24,3,"[1.9315878841126457, -2.5264907927273974, -5.017817327017479]","[1.9899122323879157, -2.9848547736971023, -4.974691392060089]",37.80815536675317,35,37
25,3,"[2.2880631025142986, 0.36512357731920453, 3.4418452808422275]","[1.9899124664705399, 5.039732569783371e-07, 2.9848571156306622]",12.93443243249743,29,31
26,3,"[3.2910168361031102, 3.515659958147924, -0.15263068180950867]","[2.9848557020106092, 2.9848569356586654, -2.967743016713202e-10]",17.909202483275067,40,42
27,3,"[-1.7036452266304956, 2.9855559945356296, -0.49874828258042925]","[-1.9899122308056452, 2.984855701043045, -1.3407711941649773e-06]",12.934432432397742,38,40
28,3,"[-3.2415519088288307, 3.634933960309497, 3.9174131381488353]","[-2.984855979094469, 3.9797826967040497, 3.979783805128425]",40.793088826692404,28,30
