0,39
0,69
0,71
0,74
1,7
1,51
1,59
1,60
1,62
1,77
1,80
1,93
1,95
2,17
2,23
2,58
2,63
2,69
2,71
3,4
3,5
3,83
3,84
4,5
4,6
4,26
4,38
4,84
5,19
5,20
5,83
6,26
6,42
6,43
6,48
6,84
7,51
7,55
7,57
7,59
8,10
8,31
8,65
8,66
9,51
9,52
9,55
9,77
9,89
10,31
10,34
10,66
10,81
11,14
11,34
11,46
11,48
11,81
11,82
12,30
12,83
12,84
13,27
13,50
13,61
13,76
14,18
14,43
14,46
14,48
14,63
15,16
15,24
15,33
15,79
15,86
15,87
16,33
16,79
16,85
17,23
17,36
17,37
17,41
17,45
17,58
17,89
18,23
18,24
18,63
18,87
19,20
19,83
20,83
21,25
21,39
21,52
21,58
21,70
21,89
22,29
22,35
22,50
22,56
23,36
23,63
23,86
23,87
24,33
24,46
24,47
24,87
25,39
25,70
26,38
26,42
26,84
27,28
27,61
27,76
27,95
28,45
28,72
28,78
29,35
29,56
30,34
30,48
30,84
31,32
31,65
31,81
31,82
32,40
32,47
32,65
32,82
33,40
33,47
34,48
34,66
35,44
35,49
35,50
35,53
35,56
36,37
36,41
36,86
37,41
37,49
37,72
37,86
38,69
38,73
39,71
39,89
40,47
40,64
41,45
42,43
42,63
42,69
43,48
43,63
44,49
44,56
44,79
44,85
45,89
45,91
46,47
46,81
46,82
47,82
49,53
49,72
49,79
49,85
49,86
50,53
50,61
51,55
51,77
51,93
51,94
52,55
52,70
52,88
53,61
53,72
54,55
54,57
54,67
54,88
55,57
57,67
57,88
58,89
59,62
60,76
60,80
60,95
61,72
62,80
63,69
64,65
67,68
67,88
68,88
68,90
69,71
69,73
70,88
70,90
71,89
73,74
75,77
75,78
75,91
75,92
75,93
75,94
75,95
76,80
77,89
77,91
77,94
78,91
78,92
78,94
78,95
79,85
79,86
80,95
81,82
86,87
88,90
91,94
92,93
92,95
93,94
